,feature
736,HID_GLORIOUS
737,HID_CHERRY
738,COMMON_CLK_SI5341
739,VIDEO_MSP3400
740,MCP4018
741,HID_BELKIN
742,I2C_EMEV2
743,UIO_CIF
744,VIDEO_WM8775
745,HID_AUREAL
746,COMMON_CLK_CDCE706
747,MPL3115
748,CRYPTO_CRC32
749,BACKLIGHT_SAHARA
750,HID_MAGICMOUSE
751,MEDIA_TUNER_TDA18212
752,I2C_ALGOPCA
753,HW_RANDOM_INTEL
754,SENSORS_HMC5843
755,BACKLIGHT_GPIO
756,HID_GREENASIA
757,KUNIT_TEST
758,ADXL372
759,SND_HDA_CODEC_SIGMATEL
760,GPIO_WM8994
761,SENSORS_LIS3_I2C
762,HID_LCPOWER
763,KUNIT_EXAMPLE_TEST
764,HID_PANTHERLORD
765,VIDEO_SAA711X
766,BCH
767,SND_HDA_CODEC_CA0110
768,HW_RANDOM_AMD
769,CRYPTO_LIB_BLAKE2S
770,SND_SOC_MAX98095
771,HID_STEELSERIES
772,SND_HDA_CODEC_HDMI
773,CRYPTO_GCM
774,MTD_NAND_ECC_SW_HAMMING
775,SND_SOC_RT5677
776,HID_VIEWSONIC
777,ABP060MG
778,HID_DRAGONRISE
779,VL6180
780,TMP007
781,SX9310
782,SENSORS_W83627EHF
783,SENSORS_ASPEED
784,SND_SOC_WM_HUBS
785,SND_SOC_WM8994
786,FAILOVER
787,APDS9300
788,LEDS_GPIO
789,FXAS21002C_I2C
790,MEDIA_TUNER_QT1010
791,MMA7455
792,HID_CYPRESS
793,I2C_CHARDEV
794,KXCJK1013
795,TPL0102
796,HID_JABRA
797,HID_PICOLCD
798,LV0104CS
799,SCSI_SAS_LIBSAS
800,COMMON_CLK_SI5351
801,DRM_GM12U320
802,MEDIA_TUNER_MXL5005S
803,NVME_CORE
804,SOUND
805,HID_MALTRON
806,DRM_DEBUG_MM
807,HID_ALPS
808,HID_SAITEK
809,LEDS_MC13783
810,STP
811,MFD_JANZ_CMODIO
812,EXT4_KUNIT_TESTS
813,INTEL_MIC_BUS
814,SENSORS_MENF21BMC_HWMON
815,CRYPTO_LIB_ARC4
816,HID_A4TECH
817,SRF08
818,AMD_NB
819,MEDIA_TUNER_MT2063
820,VLAN_8021Q
821,NFC
822,HID_LOGITECH_HIDPP
823,CONNECTOR
824,FB_VIRTUAL
825,CM32181
826,HID_KEYTOUCH
827,HID_PETALYNX
828,HID_EZKEY
829,SENSORS_AMD_ENERGY
830,SENSORS_F71805F
831,HP206C
832,REGULATOR_MC13XXX_CORE
833,SENSORS_NCT6683
834,AD5272
835,INPUT_SPARSEKMAP
836,ALTERA_STAPL
837,DLHL60D
838,MMA9551
839,LIDAR_LITE_V2
840,MEDIA_TUNER_R820T
841,GPIO_RDC321X
842,INTEL_MEI_TXE
843,HABANA_AI
844,GENWQE
845,HID_GEMBIRD
846,REGMAP_I2C
847,I2C
848,SENSORS_F71882FG
849,HID_UDRAW_PS3
850,CRYPTO_LIB_CURVE25519
851,VIDEO_SAA717X
852,APDS9960
853,UIO_MF624
854,VMWARE_VMCI
855,SENSORS_PC87360
856,HID_GENERIC
857,SND_INTEL_DSP_CONFIG
858,SENSIRION_SGP30
859,ATLAS_PH_SENSOR
860,BACKLIGHT_LM3533
861,IPMI_SI
862,VIDEO_CS53L32A
863,LEDS_TLC591XX
864,SENSORS_W83627HF
865,SENSORS_VT1211
866,AD799X
867,CRYPTO_GHASH
868,TORTURE_TEST
869,HID_ICADE
870,SENSORS_RM3100
871,MMA7660
872,STK8BA50
873,IIO_ST_GYRO_I2C_3AXIS
874,HID_MICROSOFT
875,MFD_MT6360
876,REGMAP_SLIMBUS
877,MS5637
878,AL3010
879,COMMON_CLK_CS2000_CP
880,MTD_INTEL_VR_NOR
881,HTS221_I2C
882,VIDEO_SAA7127
883,BACKLIGHT_GENERIC
884,FXOS8700
885,BT_HCIVHCI
886,MEDIA_TUNER_TUA9001
887,BOARD_TPCI200
888,UHID
889,VEML6070
890,NOA1305
891,COMMON_CLK_SI544
892,AGP_AMD64
893,I2C_CROS_EC_TUNNEL
894,MEDIA_TUNER_MT2060
895,MFD_WL1273_CORE
896,HID_SENSOR_IIO_TRIGGER
897,HID_SENSOR_IIO_COMMON
898,BMC150_ACCEL_I2C
899,MMA8452
900,PHANTOM
901,IIO_ST_MAGN_I2C_3AXIS
902,UNIX
903,GAMEPORT_FM801
904,SI7020
905,FXAS21002C
906,MMC_TIFM_SD
907,HID_REDRAGON
908,TSYS02D
909,LLC
910,SENSORS_VIA_CPUTEMP
911,W1_SLAVE_DS2780
912,MEDIA_TUNER_MXL5007T
913,LTC2497
914,MMC_TOSHIBA_PCI
915,VCNL4000
